"No.","Time","Source","Destination","Protocol","Length","Info"
"2092","33.706290583","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=587818 Win=431232 Len=0 TSval=1172677090 TSecr=174265925"
"2093","33.709011418","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2094","33.709637783","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=589198 Ack=6750 Win=31488 Len=1380 TSval=174265925 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2095","33.709653520","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=590578 Win=436736 Len=0 TSval=1172677094 TSecr=174265925"
"2096","33.711994380","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2097","33.712457831","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","309","Application Data"
"2098","33.712460252","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","681","Application Data"
"2099","33.712462140","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=592179 Win=439552 Len=0 TSval=1172677097 TSecr=174265925"
"2100","33.713587587","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1326","Application Data"
"2101","33.713607506","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60834  >  443 [ACK] Seq=3572 Ack=233855 Win=144384 Len=0 TSval=1172677098 TSecr=950774682"
"2102","33.714030695","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  40102 [ACK] Seq=592179 Ack=6750 Win=31488 Len=1380 TSval=174265926 TSecr=1172676733 [TCP segment of a reassembled PDU]"
"2103","33.715506586","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2104","33.715520381","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","40102  >  443 [ACK] Seq=6750 Ack=594939 Win=445056 Len=0 TSval=1172677100 TSecr=174265926"
"2105","33.733882821","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2106","33.739107830","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","88","443  >  60812 [ACK] Seq=153836 Ack=2974 Win=30976 Len=0 TSval=1621057903 TSecr=1172677059"
"2107","33.739115523","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","4222","Application Data, Application Data, Application Data"
